상품별 수익률 수수료율(납입원금 대비),,,,,,,,,,,,,,,,,,,,,,,,,,
[조회조건],,,,,,,,,,,,,,,,,,,,,,,,,,
권역: ,자산운용[펀드],금융회사: ,,판매여부: ,전체,원금보장: ,전체,수수료구조: ,전체,중도인출: ,전체,연금수령기간: ,전체,작성기준일: ,'25년 3분기,과거비교: ,2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
총 2003건,"(단위: 백만원 , %)",,,,,,,,,,,,,,,,,,,,,,,,,
상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,'25년 3분기,,,,'24년,,,,장기 수익률(연평균),,,,장기 수수료율(연평균),,,,,,,,
,,,,,,납입원금,적립금,수익률,수정기준가 수익률,납입원금,적립금,수익률,수정기준가 수익률,3년,5년,7년,10년,3년,5년,7년,10년,,,,,
KB연금성장주증권전환형자투자신탁(주식)C 클래스,케이비자산운용,주식형,2010/07/09,판매,가능,"18,312","56,218",80.21,43.28,"22,149","39,264",-18.65,-7.43,-20.06,-3.09,-4.96,-0.36,2.68,2.56,2.33,2.13,,,,,
AB글로벌고수익증권투자신탁(채권-재간접형)종류형C-P,얼라이언스번스틴자산운용,재간접,2013/04/10,판매,가능,"39,164","55,573",6.44,4.84,"44,482","58,385",7.26,5.94,0.28,0.06,0.78,2.36,0.89,0.88,0.87,0.84,,,,,
한국투자신종개인용MMF3(C-P),한국투자신탁운용,단기금융,2013/04/04,판매,가능,"41,901","54,657",3.79,2.96,"39,414","51,076",4.31,3.51,3.65,2.55,2.31,2.04,0.32,0.31,0.31,0.30,,,,,
NH-Amundi개인신종MMF 1ClassC-P,엔에이치아문디자산운용,단기금융,2013/11/05,판매,가능,"42,747","53,349",3.05,2.67,"47,756","57,319",3.64,3.34,3.29,2.27,2.05,1.86,0.47,0.46,0.45,0.44,,,,,
한국밸류10년투자배당증권자투자신탁(주식)C-P,한국투자밸류자산운용,주식형,2014/12/17,판매,가능,"19,569","52,895",69.09,37.84,"21,946","40,015",5.78,5.09,-5.01,2.63,2.40,2.99,2.49,2.39,2.16,1.96,,,,,
유리필라델피아반도체인덱스증권자투자신탁UH[주식]_ClassC-P2e,유리자산운용,주식형,2020/02/05,판매,가능,"27,731","52,479",35.10,26.85,"35,505","52,213",31.60,30.63,7.81,,,,1.01,,,,,,,,
미래에셋개인전용MMF 1(국공채)종류C-P,미래에셋자산운용,단기금융,2013/08/27,판매,가능,"51,929","52,472",2.48,2.58,"52,937","54,115",3.06,3.21,2.62,1.75,1.65,1.63,0.43,0.43,0.43,0.42,,,,,
KB연금가치배당40증권자투자신탁(채권혼합) C 클래스,케이비자산운용,혼합채권형,2015/02/02,판매,가능,"40,651","51,954",18.82,17.59,"44,234","46,377",0.07,0.28,-4.61,-0.66,-0.05,,1.34,1.35,1.33,,,,,,
미래에셋전략배분TDF2040혼합자산자투자신탁 종류C-Pe,미래에셋자산운용,혼합자산,2017/03/21,판매,가능,"26,548","51,721",38.94,14.82,"23,069","40,849",31.21,17.31,9.80,26.22,23.33,,1.11,1.09,1.03,,,,,,
에셋플러스차이나리치투게더연금증권자투자신탁 1[주식] 종류C,에셋플러스자산운용,주식형,2013/05/21,판매,가능,"26,359","51,472",48.39,35.76,"30,077","42,478",26.16,27.25,-12.61,-8.77,-7.13,-5.53,2.05,2.32,2.19,1.98,,,,,
교보악사파워인덱스증권투자신탁 1(주식-파생형)ClassC-P2e,교보악사자산운용,파생상품,2017/07/24,판매,가능,"30,531","50,636",46.98,41.06,"28,738","31,982",-10.34,-8.90,-8.55,3.13,1.83,,0.46,0.51,0.49,,,,,,
유진챔피언단기채증권자투자신탁(채권)ClassC-Pe,유진자산운용,채권형,2017/06/19,판매,가능,"44,772","50,378",3.88,3.57,"41,794","47,576",4.47,4.47,4.87,3.21,3.15,,0.22,0.22,0.22,,,,,,
IBK평생설계연금증권전환형자투자신탁[주식] C,아이비케이자산운용,주식형,2014/03/12,판매,가능,"39,712","49,685",34.75,40.51,"40,110","33,486",-8.63,-8.45,-8.34,1.29,-1.78,0.72,1.32,1.29,1.21,1.12,,,,,
미래에셋차이나그로스증권자투자신탁 1(주식)종류C-P,미래에셋자산운용,주식형,2017/09/19,판매,가능,"30,300","49,129",52.02,50.59,"28,466","31,801",9.85,12.26,-22.35,-8.93,-5.29,,2.08,2.44,2.28,,,,,,
유진챔피언단기채증권자투자신탁(채권)ClassC-P1,유진자산운용,채권형,2016/08/18,판매,가능,"38,443","48,177",3.79,3.44,"41,346","52,180",5.49,4.38,5.70,3.57,3.29,,0.37,0.36,0.35,,,,,,
KB스타미국S&P500인덱스증권자투자신탁(주식-파생형)(H)클래스C-Pe,케이비자산운용,파생상품,2022/02/23,판매,가능,"40,115","48,141",15.04,15.02,"27,239","30,328",20.83,22.18,,,,,,,,,,,,,
미래에셋차이나그로스증권자투자신탁 1(주식)종류C-Pe,미래에셋자산운용,주식형,2017/09/19,판매,가능,"28,409","47,786",53.18,51.25,"28,174","32,546",10.36,12.77,-21.16,-2.36,-0.15,,1.60,1.86,1.73,,,,,,
미래에셋평생소득TIF혼합자산자투자신탁종류C-Pe,미래에셋자산운용,혼합자산,2017/06/23,판매,가능,"38,131","46,591",6.39,8.16,"43,416","50,009",5.57,8.01,0.68,6.10,5.87,,0.56,0.56,0.54,,,,,,
삼성한국형TDF2045증권투자신탁H[주식혼합-재간접형]_C-P,삼성자산운용,재간접,2016/04/21,판매,가능,"28,447","44,935",15.77,11.51,"31,470","42,577",10.86,9.03,-2.98,2.68,2.62,,1.93,1.82,1.68,,,,,,
